comment,cleaning,normalisasi,tokenize,stopword
@@LightYagami_2 gak ada yg sepenuhnya kegantikan klo kata gw mah. gimanapun juga AI butuh org yg paham dengan prompt yg AI terima. jd tetep aja basic knowledge dan fundamental dibutuhin buat ngendaliin AI.,gak ada yg sepenuhnya kegantikan klo kata gw mah gimanapun juga ai butuh org yg paham dengan prompt yg ai terima jd tetep aja basic knowledge dan fundamental dibutuhin buat ngendaliin ai,tidak ada yang sepenuhnya kegantikan kalau kata gue mah gimanapun juga artificialintelligence butuh orang yang paham dengan prompt yang artificialintelligence terima jadi tetap saja basic knowledge dan fundamental dibutuhin buat ngendaliin artificialintelligence,"['tidak', 'ada', 'yang', 'sepenuhnya', 'kegantikan', 'kalau', 'kata', 'gue', 'mah', 'gimanapun', 'juga', 'artificialintelligence', 'butuh', 'orang', 'yang', 'paham', 'dengan', 'prompt', 'yang', 'artificialintelligence', 'terima', 'jadi', 'tetap', 'saja', 'basic', 'knowledge', 'dan', 'fundamental', 'dibutuhin', 'buat', 'ngendaliin', 'artificialintelligence']",sepenuhnya kegantikan gue mah gimanapun artificialintelligence butuh orang paham prompt artificialintelligence terima basic knowledge fundamental dibutuhin ngendaliin artificialintelligence
@@dz2dz it Network di Indonesia kerja di mana ya?,it network di indonesia kerja di mana ya,network di indonesia kerja di mana ya,"['network', 'di', 'indonesia', 'kerja', 'di', 'mana', 'ya']",network indonesia kerja ya
adanya AI bukan karna hasil codingan ?,adanya ai bukan karna hasil codingan,adanya artificialintelligence bukan karena hasil coding,"['adanya', 'artificialintelligence', 'bukan', 'karena', 'hasil', 'coding']",artificialintelligence hasil coding
"Mungkin disini ada beberapa programer<br>Untuk memulai programer dari awal itu gamana, kita start belajarnya mulai dari apa?",mungkin disini ada beberapa programer untuk memulai programer dari awal itu gamana kita start belajarnya mulai dari apa,mungkin disini ada beberapa programmer untuk memulai programmer dari awal itu gamana kita start belajarnya mulai dari apa,"['mungkin', 'disini', 'ada', 'beberapa', 'programmer', 'untuk', 'memulai', 'programmer', 'dari', 'awal', 'itu', 'gamana', 'kita', 'start', 'belajarnya', 'mulai', 'dari', 'apa']",programmer programmer gamana start belajarnya
Saya sanggat tertawa melihat vidio programmer di gantikan oleh ai😂😂😂😂,saya sanggat tertawa melihat vidio programmer di gantikan oleh ai,saya sangat tertawa melihat vidio programmer di gantikan oleh artificialintelligence,"['saya', 'sangat', 'tertawa', 'melihat', 'vidio', 'programmer', 'di', 'gantikan', 'oleh', 'artificialintelligence']",tertawa vidio programmer gantikan artificialintelligence
"Saya yg berjualan online sangat terbantu sama ROBO CHAT yg udah semakin ;pintar;, bahkan penjualan yg terjadi karna interaksi buyer dan robo chat meningkat 29% tahun ini",saya yg berjualan online sangat terbantu sama robo chat yg udah semakin pintar bahkan penjualan yg terjadi karna interaksi buyer dan robo chat meningkat tahun ini,saya yang berjualan online sangat terbantu sama robo chat yang sudah semakin pintar bahkan penjualan yang terjadi karena interaksi buyer dan robo chat meningkat tahun ini,"['saya', 'yang', 'berjualan', 'online', 'sangat', 'terbantu', 'sama', 'robo', 'chat', 'yang', 'sudah', 'semakin', 'pintar', 'bahkan', 'penjualan', 'yang', 'terjadi', 'karena', 'interaksi', 'buyer', 'dan', 'robo', 'chat', 'meningkat', 'tahun', 'ini']",berjualan online terbantu robo chat pintar penjualan interaksi buyer robo chat meningkat
"Kalo ketergantungan bakal bikin insting logic tumpul, dan jadi malas berfikir. Programmer ga hanya coding,tapi juga problem solving. kalo cara berfikir ga jalan, bakal susah.",kalo ketergantungan bakal bikin insting logic tumpul dan jadi malas berfikir programmer ga hanya coding tapi juga problem solving kalo cara berfikir ga jalan bakal susah,kalau ketergantungan bakal bikin insting logic tumpul dan jadi malas berpikir programmer tidak hanya coding tapi juga problem solving kalau cara berpikir tidak jalan bakal susah,"['kalau', 'ketergantungan', 'bakal', 'bikin', 'insting', 'logic', 'tumpul', 'dan', 'jadi', 'malas', 'berpikir', 'programmer', 'tidak', 'hanya', 'coding', 'tapi', 'juga', 'problem', 'solving', 'kalau', 'cara', 'berpikir', 'tidak', 'jalan', 'bakal', 'susah']",ketergantungan bikin insting logic tumpul malas berpikir programmer coding problem solving berpikir jalan susah
"Coding itu kan flownya ke mana-mana , ga mungkin dimasukin semua code yang ada ke ai. Ai itu bisanya cuma baca code sepotong kecil aja, coba aja masukin code yang banyak sampe ratusan baris. Saya coba tes begitu , AI nya langsung bingung ga ngerti maksud dari codenya. Kalo codenya sepotong kecil dia masih bisa ngerti",coding itu kan flownya ke mana mana ga mungkin dimasukin semua code yang ada ke ai ai itu bisanya cuma baca code sepotong kecil aja coba aja masukin code yang banyak sampe ratusan baris saya coba tes begitu ai nya langsung bingung ga ngerti maksud dari codenya kalo codenya sepotong kecil dia masih bisa ngerti,coding itu kan flownya ke mana mana tidak mungkin dimasuki semua code yang ada ke artificialintelligence artificialintelligence itu bisanya cuma baca code sepotong kecil saja coba saja memasuki code yang banyak sampai ratusan baris saya coba tes begitu artificialintelligence ya langsung bingung tidak mengerti maksud dari codenya kalau codenya sepotong kecil dia masih bisa mengerti,"['coding', 'itu', 'kan', 'flownya', 'ke', 'mana', 'mana', 'tidak', 'mungkin', 'dimasuki', 'semua', 'code', 'yang', 'ada', 'ke', 'artificialintelligence', 'artificialintelligence', 'itu', 'bisanya', 'cuma', 'baca', 'code', 'sepotong', 'kecil', 'saja', 'coba', 'saja', 'memasuki', 'code', 'yang', 'banyak', 'sampai', 'ratusan', 'baris', 'saya', 'coba', 'tes', 'begitu', 'artificialintelligence', 'ya', 'langsung', 'bingung', 'tidak', 'mengerti', 'maksud', 'dari', 'codenya', 'kalau', 'codenya', 'sepotong', 'kecil', 'dia', 'masih', 'bisa', 'mengerti']",coding flownya dimasuki code artificialintelligence artificialintelligence bisanya baca code sepotong coba memasuki code ratusan baris coba tes artificialintelligence ya langsung bingung mengerti maksud codenya codenya sepotong mengerti
Nice statement,nice statement,nice statement,"['nice', 'statement']",nice statement
"Tapi emang keren sih AI, saat gua menemukan masalah sama projects gua, dengan cepat dia memberikan solusi bahkan bisa memberikan syntax baru, dan yeah projects yg di idam idamkan selesai 😂😂😂",tapi emang keren sih ai saat gua menemukan masalah sama projects gua dengan cepat dia memberikan solusi bahkan bisa memberikan syntax baru dan yeah projects yg di idam idamkan selesai,tapi memang keren sih artificialintelligence saat gua menemukan masalah sama projects gua dengan cepat dia memberikan solusi bahkan bisa memberikan syntax baru dan yeah projects yang di idam idamkan selesai,"['tapi', 'memang', 'keren', 'sih', 'artificialintelligence', 'saat', 'gua', 'menemukan', 'masalah', 'sama', 'projects', 'gua', 'dengan', 'cepat', 'dia', 'memberikan', 'solusi', 'bahkan', 'bisa', 'memberikan', 'syntax', 'baru', 'dan', 'yeah', 'projects', 'yang', 'di', 'idam', 'idamkan', 'selesai']",keren sih artificialintelligence gua menemukan projects gua cepat solusi syntax yeah projects idam idamkan selesai
"AI itu Inovasi &amp; buah pikiran dari Programmer, AI bisa bertindak layaknya Programmer. Programmer = Manusia, AI = Ciptaan Manusia. Masa manusia takut sama ciptaannya 😂<br><br>Sampai detik ini AI masih jadi “Peran Pembantu” belum jadi Tokoh Utama.<br><br>Semua yg di kerjakan oleh AI berasal dari Informasi masa lalu, itu sebabnya Pekerjaan berulang bisa lebih cepat di kerjakan AI. Contoh: di Pabrik Tesla pakai Robotic buat rakit mobilnya.<br><br>*tuhkan masih jadi Pembantu belum jadi Penemu mobil listrik",ai itu inovasi amp buah pikiran dari programmer ai bisa bertindak layaknya programmer programmer manusia ai ciptaan manusia masa manusia takut sama ciptaannya sampai detik ini ai masih jadi peran pembantu belum jadi tokoh utama semua yg di kerjakan oleh ai berasal dari informasi masa lalu itu sebabnya pekerjaan berulang bisa lebih cepat di kerjakan ai contoh di pabrik tesla pakai robotic buat rakit mobilnya tuhkan masih jadi pembantu belum jadi penemu mobil listrik,artificialintelligence itu inovasi amp buah pikiran dari programmer artificialintelligence bisa bertindak layaknya programmer programmer manusia artificialintelligence ciptaan manusia masa manusia takut sama ciptaannya sampai detik ini artificialintelligence masih jadi peran pembantu belum jadi tokoh utama semua yang di kerjakan oleh artificialintelligence berasal dari informasi masa lalu itu sebabnya pekerjaan berulang bisa lebih cepat di kerjakan artificialintelligence contoh di pabrik tesla pakai robotic buat rakit mobilnya tuhkan masih jadi pembantu belum jadi penemu mobil listrik,"['artificialintelligence', 'itu', 'inovasi', 'amp', 'buah', 'pikiran', 'dari', 'programmer', 'artificialintelligence', 'bisa', 'bertindak', 'layaknya', 'programmer', 'programmer', 'manusia', 'artificialintelligence', 'ciptaan', 'manusia', 'masa', 'manusia', 'takut', 'sama', 'ciptaannya', 'sampai', 'detik', 'ini', 'artificialintelligence', 'masih', 'jadi', 'peran', 'pembantu', 'belum', 'jadi', 'tokoh', 'utama', 'semua', 'yang', 'di', 'kerjakan', 'oleh', 'artificialintelligence', 'berasal', 'dari', 'informasi', 'masa', 'lalu', 'itu', 'sebabnya', 'pekerjaan', 'berulang', 'bisa', 'lebih', 'cepat', 'di', 'kerjakan', 'artificialintelligence', 'contoh', 'di', 'pabrik', 'tesla', 'pakai', 'robotic', 'buat', 'rakit', 'mobilnya', 'tuhkan', 'masih', 'jadi', 'pembantu', 'belum', 'jadi', 'penemu', 'mobil', 'listrik']",artificialintelligence inovasi amp buah pikiran programmer artificialintelligence bertindak layaknya programmer programmer manusia artificialintelligence ciptaan manusia manusia takut ciptaannya detik artificialintelligence peran pembantu tokoh utama kerjakan artificialintelligence berasal informasi pekerjaan berulang cepat kerjakan artificialintelligence contoh pabrik tesla pakai robotic rakit mobilnya tuhkan pembantu penemu mobil listrik
"Kalau aku mau <a href=""http://belajar.it/"">belajar.It</a> <br>Dari dasar dulu.kawan  karena menurut filink aku <br>Sautusaat yah sekitar 3 thn kedpn  programing  sangat menjanjikan  selain  utk kerja maupun  kt bergaul nantinya  byk;, ide .mass broo kasih  masukkan dong buat aku langkah pertama  utk sebagai  programing ?<br>Tolong yaa masbroo",kalau aku mau belajar it dari dasar dulu kawan karena menurut filink aku sautusaat yah sekitar thn kedpn programing sangat menjanjikan selain utk kerja maupun kt bergaul nantinya byk ide mass broo kasih masukkan dong buat aku langkah pertama utk sebagai programing tolong yaa masbroo,kalau aku mau belajar dari dasar dulu kawan karena menurut filink aku sautusaat ya sekitar tahun kedpn programing sangat menjanjikan selain untuk kerja maupun kita bergaul nantinya banyak ide mass broo kasih masukkan dong buat aku langkah pertama untuk sebagai programing tolong ya masbroo,"['kalau', 'aku', 'mau', 'belajar', 'dari', 'dasar', 'dulu', 'kawan', 'karena', 'menurut', 'filink', 'aku', 'sautusaat', 'ya', 'sekitar', 'tahun', 'kedpn', 'programing', 'sangat', 'menjanjikan', 'selain', 'untuk', 'kerja', 'maupun', 'kita', 'bergaul', 'nantinya', 'banyak', 'ide', 'mass', 'broo', 'kasih', 'masukkan', 'dong', 'buat', 'aku', 'langkah', 'pertama', 'untuk', 'sebagai', 'programing', 'tolong', 'ya', 'masbroo']",belajar dasar kawan filink sautusaat ya kedpn programing menjanjikan kerja bergaul ide mass broo kasih masukkan langkah programing tolong ya masbroo
Kalo baru awal banget no background IT html ama css,kalo baru awal banget no background it html ama css,kalau baru awal banget no background html sama css,"['kalau', 'baru', 'awal', 'banget', 'no', 'background', 'html', 'sama', 'css']",banget no background html css
"Kalau pendapat gw sih, minimal paham konsep dan logika alurnya mau apa. AI itu gak sempurna dan gak selalu benar. Pengalaman gw sih pake AI, tentu perlu manusianya juga lagi yang harus ngebenerin supaya jadi tepat. Jadikan AI itu asisten",kalau pendapat gw sih minimal paham konsep dan logika alurnya mau apa ai itu gak sempurna dan gak selalu benar pengalaman gw sih pake ai tentu perlu manusianya juga lagi yang harus ngebenerin supaya jadi tepat jadikan ai itu asisten,kalau pendapat gue sih minimal paham konsep dan logika alurnya mau apa artificialintelligence itu tidak sempurna dan tidak selalu benar pengalaman gue sih pakai artificialintelligence tentu perlu manusianya juga lagi yang harus ngebenerin supaya jadi tepat jadikan artificialintelligence itu asisten,"['kalau', 'pendapat', 'gue', 'sih', 'minimal', 'paham', 'konsep', 'dan', 'logika', 'alurnya', 'mau', 'apa', 'artificialintelligence', 'itu', 'tidak', 'sempurna', 'dan', 'tidak', 'selalu', 'benar', 'pengalaman', 'gue', 'sih', 'pakai', 'artificialintelligence', 'tentu', 'perlu', 'manusianya', 'juga', 'lagi', 'yang', 'harus', 'ngebenerin', 'supaya', 'jadi', 'tepat', 'jadikan', 'artificialintelligence', 'itu', 'asisten']",pendapat gue sih minimal paham konsep logika alurnya artificialintelligence sempurna pengalaman gue sih pakai artificialintelligence manusianya ngebenerin jadikan artificialintelligence asisten
"Dengan AI coding jadi bisa lebih cepat.<br><br>Tapi... Kalian yang tidak belajar, tentunya tidak paham dengan coding yang dihasilkan AI.",dengan ai coding jadi bisa lebih cepat tapi kalian yang tidak belajar tentunya tidak paham dengan coding yang dihasilkan ai,dengan artificialintelligence coding jadi bisa lebih cepat tapi kalian yang tidak belajar tentunya tidak paham dengan coding yang dihasilkan artificialintelligence,"['dengan', 'artificialintelligence', 'coding', 'jadi', 'bisa', 'lebih', 'cepat', 'tapi', 'kalian', 'yang', 'tidak', 'belajar', 'tentunya', 'tidak', 'paham', 'dengan', 'coding', 'yang', 'dihasilkan', 'artificialintelligence']",artificialintelligence coding cepat belajar paham coding dihasilkan artificialintelligence
"Programer sekarang kebanyakan pada manja jadi ngiranya kalau pakai ai semuanya bakal jalan dengan lancar tanpa hambatan, menurutku kebanyakan yang punya persepsi tersebut mungkin biasanya pakai bahasa pemrograman kelas atas makannya ai gampang garapnya.<br>Tapi kalau sudah masuk ranah optimisasi bahasa kelas bawah well... Semoga beruntung",programer sekarang kebanyakan pada manja jadi ngiranya kalau pakai ai semuanya bakal jalan dengan lancar tanpa hambatan menurutku kebanyakan yang punya persepsi tersebut mungkin biasanya pakai bahasa pemrograman kelas atas makannya ai gampang garapnya tapi kalau sudah masuk ranah optimisasi bahasa kelas bawah well semoga beruntung,programmer sekarang kebanyakan pada manja jadi ngiranya kalau pakai artificialintelligence semuanya bakal jalan dengan lancar tanpa hambatan menurutku kebanyakan yang punya persepsi tersebut mungkin biasanya pakai bahasa pemrograman kelas atas makannya artificialintelligence gampang garapnya tapi kalau sudah masuk ranah optimisasi bahasa kelas bawah well semoga beruntung,"['programmer', 'sekarang', 'kebanyakan', 'pada', 'manja', 'jadi', 'ngiranya', 'kalau', 'pakai', 'artificialintelligence', 'semuanya', 'bakal', 'jalan', 'dengan', 'lancar', 'tanpa', 'hambatan', 'menurutku', 'kebanyakan', 'yang', 'punya', 'persepsi', 'tersebut', 'mungkin', 'biasanya', 'pakai', 'bahasa', 'pemrograman', 'kelas', 'atas', 'makannya', 'artificialintelligence', 'gampang', 'garapnya', 'tapi', 'kalau', 'sudah', 'masuk', 'ranah', 'optimisasi', 'bahasa', 'kelas', 'bawah', 'well', 'semoga', 'beruntung']",programmer kebanyakan manja ngiranya pakai artificialintelligence jalan lancar hambatan menurutku kebanyakan persepsi pakai bahasa pemrograman kelas makannya artificialintelligence gampang garapnya masuk ranah optimisasi bahasa kelas well semoga beruntung
Bang lu main Java and c language ye,bang lu main java and c language ye,abang kamu main java and sih language ye,"['abang', 'kamu', 'main', 'java', 'and', 'sih', 'language', 'ye']",abang main java and sih language ye
"Kasihan yang mempersiapkan Coding sangat berat, eee diloncati",kasihan yang mempersiapkan coding sangat berat eee diloncati,kasihan yang mempersiapkan coding sangat berat eee diloncati,"['kasihan', 'yang', 'mempersiapkan', 'coding', 'sangat', 'berat', 'eee', 'diloncati']",kasihan coding berat eee diloncati
"Sementara, Ai diciptakan oleh programmer, ironis kan.",sementara ai diciptakan oleh programmer ironis kan,sementara artificialintelligence diciptakan oleh programmer ironis kan,"['sementara', 'artificialintelligence', 'diciptakan', 'oleh', 'programmer', 'ironis', 'kan']",artificialintelligence diciptakan programmer ironis
